ra,dec,mag
46.394,56.680,4.77
46.199,53.508,2.91
51.067,49.871,1.79
54.111,48.203,4.32
55.718,47.803,3.01
62.155,47.725,3.96
63.722,48.416,4.12
64.535,50.316,4.60
64.190,53.612,5.20
44.678,39.677,4.68
61.653,50.364,4.25
56.294,24.482,4.30
56.193,24.305,5.45
56.448,24.384,3.87
56.210,24.130,3.72
56.863,24.121,2.85
56.573,23.964,4.14
57.284,24.070,3.62
66.965,21.635,5.72
61.138,22.103,4.36
61.877,15.171,6.02
58.237,17.338,5.97
60.153,17.308,6.31
61.995,17.344,5.89
63.112,17.285,6.09
56.306,42.578,3.77
59.458,40.019,2.90
59.740,35.790,3.98
58.531,31.887,2.84
56.076,32.292,3.84
55.592,33.967,4.97
57.394,33.091,5.14
75.492,43.824,3.03
76.614,41.259,3.18
75.615,41.084,3.69
69.175,41.272,4.25
40.394,-14.569,5.98
38.052,-15.192,4.74
39.827,-11.787,4.83
36.492,-12.286,4.88
40.102,-9.424,5.79
35.450,-10.748,5.43
62.325,-16.386,5.45
59.485,-13.468,2.97
56.515,-12.123,4.43
55.846,-10.031,3.52
53.590,-9.465,3.72
48.960,-8.836,4.80
44.078,-8.819,3.89
41.033,-13.856,4.24
41.150,-18.586,4.47
42.775,-20.998,4.76
45.655,-23.604,4.08
49.859,-21.769,3.70
53.430,-21.623,4.26
56.775,-23.059,4.22
58.416,-24.610,4.64
59.977,-24.022,4.62
67.113,19.194,3.53
66.331,17.940,4.30
65.693,17.553,3.77
64.905,15.636,3.65
68.957,16.578,0.87
67.125,15.880,3.40
66.543,15.630,4.48
60.173,12.495,3.41
69.788,15.925,4.67
66.534,22.830,4.28
66.301,22.310,4.21
69.939,-1.049,6.11
71.369,-3.250,4.01
67.971,-0.041,4.91
69.079,-3.351,3.93
65.938,-3.725,5.17
64.634,-6.418,4.43
62.962,-6.867,4.04
63.602,-10.198,4.87
65.100,27.379,4.97
70.317,28.626,5.73
73.178,27.910,5.97
74.529,25.068,5.79
77.027,24.267,5.50
79.812,22.126,4.96
75.747,21.605,4.62
72.813,18.852,5.08
69.571,20.688,5.85
70.562,22.964,4.27
69.747,-12.117,4.99
72.471,-13.707,6.27
72.531,-16.236,5.03
71.852,-16.996,5.49
71.013,-18.660,5.53
70.100,-19.636,4.32
67.148,-19.418,5.95
67.279,-13.048,5.61
69.574,-14.240,3.86
74.247,33.173,2.69
79.133,46.152,0.08
89.911,44.948,1.90
